season,player_name_count,total_points_mean,total_points_median,total_points_std,total_points_max,goals_scored_sum,assists_sum,minutes_sum
2016-17,478,64.86,55.0,47.69,264,1029,936,749792
2017-18,471,66.5,61.0,47.15,303,986,904,748136
2018-19,456,67.77,58.0,48.85,259,1036,930,747476
2019-20,466,66.28,58.0,47.46,251,999,901,747788
2020-21,470,66.72,58.0,47.34,244,986,905,747819
2021-22,480,65.21,59.0,47.46,265,1036,927,748014
2022-23,483,65.36,55.0,46.87,272,1038,925,747287
2023-24,487,63.79,53.0,46.64,244,1194,1068,746574
2024-25,497,62.66,49.0,48.45,344,1080,977,747003
2025-26,371,21.47,19.0,13.8,85,229,212,174645
