first_name,second_name,season,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,creativity,threat,clean_sheets,goals_conceded,yellow_cards,red_cards,influence,ict_index,bonus,bps,goals_per_90,assists_per_90,goal_involvement,goal_involvement_per_90,clean_sheet_rate,total_cards,cards_per_90,points_per_cost,rank_in_season,season_encoded,player_name
Alexis,Sánchez,2016-17,0.0,29.7,264,3217,24,11,1278.3,1896.0,13,41,6,0,1357.8,453.4,32,834,0.671,0.308,35,0.979,0.364,6,0.168,0.0,1,0,Alexis Sánchez
Bamidele,Alli,2016-17,0.0,32.3,225,3036,18,11,778.7,1270.0,17,22,4,0,969.6,301.7,17,679,0.534,0.326,29,0.86,0.504,4,0.119,0.0,2,0,Bamidele Alli
Eden,Hazard,2016-17,0.0,30.6,224,2985,16,9,1306.8,1162.0,17,29,3,0,1044.6,351.6,33,869,0.482,0.271,25,0.754,0.513,3,0.09,0.0,3,0,Eden Hazard
Harry,Kane,2016-17,0.0,23.3,224,2523,29,7,548.4,1530.0,14,19,3,0,1279.0,336.0,33,920,1.034,0.25,36,1.284,0.499,3,0.107,0.0,3,0,Harry Kane
Romelu,Lukaku,2016-17,0.0,32.2,221,3266,25,6,701.4,1670.0,13,42,3,0,1171.6,354.1,33,824,0.689,0.165,31,0.854,0.358,3,0.083,0.0,5,0,Romelu Lukaku
Christian,Eriksen,2016-17,0.0,17.9,218,3159,8,20,1679.2,1244.0,16,24,0,0,974.6,389.7,30,798,0.228,0.57,28,0.798,0.456,0,0.0,0.0,6,0,Christian Eriksen
Kevin,De Bruyne,2016-17,0.0,10.4,199,2877,6,21,1702.0,790.0,11,34,4,0,872.4,336.6,33,825,0.188,0.657,27,0.845,0.344,4,0.125,0.0,7,0,Kevin De Bruyne
Diego,Da Silva Costa,2016-17,0.0,32.2,196,3083,20,11,687.9,1891.0,14,30,10,0,982.6,355.0,25,657,0.584,0.321,31,0.905,0.409,10,0.292,0.0,8,0,Diego Da Silva Costa
Gylfi,Sigurdsson,2016-17,0.0,10.8,181,3327,9,13,1302.7,1074.0,7,70,2,0,905.4,328.3,18,684,0.243,0.352,22,0.595,0.189,2,0.054,0.0,9,0,Gylfi Sigurdsson
Roberto,Firmino,2016-17,0.0,8.8,180,3062,11,11,1127.3,1569.0,11,39,5,0,869.6,356.9,17,639,0.323,0.323,22,0.647,0.323,5,0.147,0.0,10,0,Roberto Firmino
Joshua,King,2016-17,0.0,19.3,178,2714,16,3,474.6,1007.0,9,54,1,0,835.2,231.6,17,553,0.531,0.099,19,0.63,0.298,1,0.033,0.0,11,0,Joshua King
Gary,Cahill,2016-17,0.0,15.3,178,3296,6,0,100.8,400.0,17,29,5,0,831.6,133.3,15,778,0.164,0.0,6,0.164,0.464,5,0.137,0.0,11,0,Gary Cahill
Marcos,Alonso,2016-17,0.0,16.0,177,2693,6,5,420.4,536.0,15,19,2,0,618.2,157.6,11,675,0.201,0.167,11,0.368,0.501,2,0.067,0.0,13,0,Marcos Alonso
Sergio,Agüero,2016-17,0.0,17.6,175,2404,20,5,518.2,1853.0,8,30,4,1,871.8,323.9,32,640,0.749,0.187,25,0.936,0.3,6,0.225,0.0,14,0,Sergio Agüero
Heung-Min,Son,2016-17,0.0,11.0,174,2063,14,9,642.3,1161.0,10,18,2,0,753.4,255.6,13,512,0.611,0.393,23,1.003,0.436,2,0.087,0.0,15,0,Heung-Min Son
Philippe,Coutinho,2016-17,0.0,26.0,171,2228,13,8,1081.8,1125.0,8,27,2,0,860.0,306.5,21,631,0.525,0.323,21,0.848,0.323,2,0.081,0.0,16,0,Philippe Coutinho
César,Azpilicueta,2016-17,0.0,18.1,170,3420,1,5,422.8,150.0,16,33,4,0,792.8,136.8,22,872,0.026,0.132,6,0.158,0.421,4,0.105,0.0,17,0,César Azpilicueta
Mesut,Özil,2016-17,0.0,7.5,167,2841,8,11,1649.3,734.0,12,30,2,0,834.4,322.0,19,729,0.253,0.348,19,0.602,0.38,2,0.063,0.0,18,0,Mesut Özil
Jermain,Defoe,2016-17,0.0,16.1,166,3322,15,3,274.5,1379.0,6,63,1,0,630.4,227.0,24,529,0.406,0.081,18,0.488,0.163,1,0.027,0.0,19,0,Jermain Defoe
Zlatan,Ibrahimovic,2016-17,0.0,22.8,163,2438,17,7,775.0,1694.0,11,22,7,0,807.8,327.3,28,540,0.628,0.258,24,0.886,0.406,7,0.258,0.0,20,0,Zlatan Ibrahimovic
Pedro,Rodríguez Ledesma,2016-17,0.0,8.5,162,2140,9,10,697.9,669.0,15,15,6,0,639.0,198.8,18,580,0.379,0.421,19,0.799,0.631,6,0.252,0.0,21,0,Pedro Rodríguez Ledesma
Jamie,Vardy,2016-17,0.0,13.9,161,2801,13,8,450.4,955.0,7,57,2,1,629.8,202.5,24,555,0.418,0.257,21,0.675,0.225,4,0.129,0.0,22,0,Jamie Vardy
Sadio,Mané,2016-17,0.0,7.8,156,2242,13,7,660.7,1074.0,8,26,4,0,727.0,246.0,14,502,0.522,0.281,20,0.803,0.321,4,0.161,0.0,23,0,Sadio Mané
Tom,Heaton,2016-17,0.0,18.6,149,3150,0,0,30.3,0.0,10,48,1,0,1001.6,103.2,21,741,0.0,0.0,0,0.0,0.286,1,0.029,0.0,24,0,Tom Heaton
Wilfried,Zaha,2016-17,0.0,11.9,149,3019,7,11,606.4,865.0,7,56,8,0,740.4,221.2,13,481,0.209,0.328,18,0.537,0.209,8,0.238,0.0,24,0,Wilfried Zaha
Raheem,Sterling,2016-17,0.0,10.6,149,2509,7,14,688.3,1170.0,9,27,7,0,527.0,237.7,11,468,0.251,0.502,21,0.753,0.323,7,0.251,0.0,24,0,Raheem Sterling
Georginio,Wijnaldum,2016-17,0.0,1.7,149,2974,6,9,694.5,639.0,11,37,2,0,648.4,198.5,14,650,0.182,0.272,15,0.454,0.333,2,0.061,0.0,24,0,Georginio Wijnaldum
Fernando,Llorente,2016-17,0.0,9.4,146,2442,15,3,489.6,1086.0,5,51,2,0,639.8,220.3,22,512,0.553,0.111,18,0.663,0.184,2,0.074,0.0,28,0,Fernando Llorente
Ross,Barkley,2016-17,0.0,6.6,144,2900,5,11,1237.6,973.0,12,36,5,0,692.4,290.3,11,534,0.155,0.341,16,0.497,0.372,5,0.155,0.0,29,0,Ross Barkley
Hugo,Lloris,2016-17,0.0,7.9,143,3004,0,0,20.0,2.0,15,24,0,0,664.6,68.7,6,665,0.0,0.0,0,0.0,0.449,0,0.0,0.0,30,0,Hugo Lloris
Kyle,Walker,2016-17,0.0,27.6,142,2701,0,6,570.5,264.0,14,21,8,0,564.0,140.2,18,640,0.0,0.2,6,0.2,0.466,8,0.267,0.0,31,0,Kyle Walker
Thibaut,Courtois,2016-17,0.0,14.1,141,3240,0,0,0.0,0.0,16,28,1,0,517.6,52.0,0,623,0.0,0.0,0,0.0,0.444,1,0.028,0.0,32,0,Thibaut Courtois
Adam,Lallana,2016-17,0.0,9.1,139,2338,8,7,693.0,825.0,9,32,3,0,679.4,219.5,14,543,0.308,0.269,15,0.577,0.346,3,0.115,0.0,33,0,Adam Lallana
James,Milner,2016-17,0.0,4.8,139,3154,7,4,937.0,493.0,12,35,5,0,919.0,235.2,16,682,0.2,0.114,11,0.314,0.342,5,0.143,0.0,33,0,James Milner
