Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2000-01,0,Man United,38,19,19,24,8,6,15,9,80,2.1052631578947367,79,31,48,2.0789473684210527,0.8157894736842105,556.0,264.0,14.631578947368421,6.947368421052632,47.482014388489205,17,0.4473684210526316,44.0,3.0,433.0,269.0,7.078947368421052,0.631578947368421,0.7894736842105263,0.47368421052631576,1,27
2000-01,0,Arsenal,38,19,19,20,10,8,15,5,70,1.8421052631578947,63,38,25,1.6578947368421053,1.0,540.0,295.0,14.210526315789474,7.7631578947368425,54.629629629629626,17,0.4473684210526316,48.0,3.0,495.0,295.0,7.7631578947368425,0.5263157894736842,0.7894736842105263,0.2631578947368421,2,0
2000-01,0,Liverpool,38,19,19,20,9,9,13,7,69,1.8157894736842106,71,39,32,1.868421052631579,1.0263157894736843,488.0,249.0,12.842105263157896,6.552631578947368,51.02459016393443,14,0.3684210526315789,50.0,4.0,473.0,243.0,6.394736842105263,0.5263157894736842,0.6842105263157895,0.3684210526315789,3,24
2000-01,0,Leeds,38,19,19,20,8,10,11,9,68,1.7894736842105263,64,43,21,1.6842105263157894,1.131578947368421,475.0,228.0,12.5,6.0,48.0,11,0.2894736842105263,72.0,3.0,589.0,270.0,7.105263157894737,0.5263157894736842,0.5789473684210527,0.47368421052631576,4,22
2000-01,0,Ipswich,38,19,19,20,6,12,11,9,66,1.736842105263158,57,42,15,1.5,1.105263157894737,491.0,226.0,12.921052631578947,5.947368421052632,46.02851323828921,13,0.34210526315789475,31.0,2.0,414.0,206.0,5.421052631578948,0.5263157894736842,0.5789473684210527,0.47368421052631576,5,21
2000-01,0,Chelsea,38,19,19,17,10,11,13,4,61,1.605263157894737,68,45,23,1.7894736842105263,1.1842105263157894,504.0,240.0,13.263157894736842,6.315789473684211,47.61904761904761,10,0.2631578947368421,75.0,2.0,545.0,212.0,5.578947368421052,0.4473684210526316,0.6842105263157895,0.21052631578947367,6,13
2000-01,0,Sunderland,38,19,19,15,12,11,9,6,57,1.5,46,41,5,1.2105263157894737,1.0789473684210527,449.0,218.0,11.81578947368421,5.7368421052631575,48.55233853006681,13,0.34210526315789475,73.0,5.0,618.0,187.0,4.921052631578948,0.39473684210526316,0.47368421052631576,0.3157894736842105,7,38
2000-01,0,Aston Villa,38,19,19,13,15,10,8,5,54,1.4210526315789473,46,43,3,1.2105263157894737,1.131578947368421,349.0,165.0,9.18421052631579,4.342105263157895,47.277936962750715,9,0.23684210526315788,66.0,3.0,491.0,186.0,4.894736842105263,0.34210526315789475,0.42105263157894735,0.2631578947368421,8,1
2000-01,0,Charlton,38,19,19,14,10,14,11,3,52,1.368421052631579,50,57,-7,1.3157894736842106,1.5,373.0,217.0,9.81578947368421,5.7105263157894735,58.17694369973191,14,0.3684210526315789,44.0,3.0,467.0,213.0,5.605263157894737,0.3684210526315789,0.5789473684210527,0.15789473684210525,9,12
2000-01,0,Southampton,38,19,19,14,10,14,11,3,52,1.368421052631579,40,48,-8,1.0526315789473684,1.263157894736842,414.0,174.0,10.894736842105264,4.578947368421052,42.028985507246375,14,0.3684210526315789,49.0,1.0,509.0,211.0,5.552631578947368,0.3684210526315789,0.5789473684210527,0.15789473684210525,10,36
